id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
2180,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3205080,CIBALONG,32.05.29,CIBALONG,SMP IT HASANATUL HUDA,70033222,SWASTA,KP. JATI SUKAHENING - CIGELAP,2023
2181,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3205080,CIBALONG,32.05.29,CIBALONG,SMP Y 17 CIBALONG,20210836,SWASTA,JL.RAYA KARANGNUNGGAL NO. 205,2023
2182,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3205080,CIBALONG,32.05.29,CIBALONG,SMPT MIFTAHUL HIDAYAH,69994891,SWASTA,JL. KARANGNUNGGAL - PATROL,2023
2183,32,JAWA BARAT,3205,KABUPATEN GARUT,3205090,CISOMPET,32.05.28,CISOMPET,SMPN 1 Cisompet,20209306,NEGERI,JL. RAYA CISOMPET NO. 763,2023
2184,32,JAWA BARAT,3205,KABUPATEN GARUT,3205090,CISOMPET,32.05.28,CISOMPET,SMPN 2 Cisompet,20227427,NEGERI,KP. BABAKAN NANGKA SUKANAGARA,2023
2185,32,JAWA BARAT,3205,KABUPATEN GARUT,3205090,CISOMPET,32.05.28,CISOMPET,SMPN 3 Cisompet,20262018,NEGERI,JL. SINDANGPALAY,2023
2186,32,JAWA BARAT,3205,KABUPATEN GARUT,3205090,CISOMPET,32.05.28,CISOMPET,SMPN 4 Cisompet,20268721,NEGERI,KP. PETIR RT.004 RW.002,2023
2187,32,JAWA BARAT,3205,KABUPATEN GARUT,3205090,CISOMPET,32.05.28,CISOMPET,SMPN 5 Cisompet,20268874,NEGERI,JL. SERMA DURAHMAN,2023
2188,32,JAWA BARAT,3205,KABUPATEN GARUT,3205090,CISOMPET,32.05.28,CISOMPET,SMP CIHAURKUNING SATU,70006199,SWASTA,KP. MEKARSARI RT 02 RW 10,2023
2189,32,JAWA BARAT,3205,KABUPATEN GARUT,3205090,CISOMPET,32.05.28,CISOMPET,SMP ISLAM TERPADU AL-WASI,69867948,SWASTA,KP. PADARAME,2023
219,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201090,CARINGIN,32.01.27,CARINGIN,SMP HUMANIKA,69726938,SWASTA,JL. BALONDONGAN RT 001/03 DESA CIHERANG PONDOK,2023
2190,32,JAWA BARAT,3205,KABUPATEN GARUT,3205090,CISOMPET,32.05.28,CISOMPET,SMP IT ANNUR WAHID,69946689,SWASTA,KP. PANCEN CIKAPUNDUNG RT 02 RW 08,2023
2191,32,JAWA BARAT,3205,KABUPATEN GARUT,3205090,CISOMPET,32.05.28,CISOMPET,SMP NURUL HIKMAH,70006181,SWASTA,KP.NAGRAK RT 04 RW.06,2023
2192,32,JAWA BARAT,3205,KABUPATEN GARUT,3205090,CISOMPET,32.05.28,CISOMPET,SMP PLUS NURUL HUDA YASPINDA,69758167,SWASTA,KP. DATARKENDAL,2023
2193,32,JAWA BARAT,3205,KABUPATEN GARUT,3205100,PEUNDEUY,32.05.26,PEUNDEUY,SMPN 1 Peundeuy,20209394,NEGERI,KP. KUBANGSARI,2023
2194,32,JAWA BARAT,3205,KABUPATEN GARUT,3205100,PEUNDEUY,32.05.26,PEUNDEUY,SMPN Satu Atap 1 Peundeuy,20268840,NEGERI,KP BABAKAN,2023
2195,32,JAWA BARAT,3205,KABUPATEN GARUT,3205100,PEUNDEUY,32.05.26,PEUNDEUY,SMP ISLAM AL-FATAH MA SUM,69965101,SWASTA,KP. CIUCING,2023
2196,32,JAWA BARAT,3205,KABUPATEN GARUT,3205100,PEUNDEUY,32.05.26,PEUNDEUY,SMP IT DARUL HIKAM PEUNDEUY,69947969,SWASTA,KP. BOJONGRANDU RT 01 RW 02 DS. TOBLONG KEC. PEUNDEUY KAB. GARUT,2023
2197,32,JAWA BARAT,3205,KABUPATEN GARUT,3205100,PEUNDEUY,32.05.26,PEUNDEUY,SMP IT MADINATUL HIKAM,69986249,SWASTA,KP. PACING,2023
2198,32,JAWA BARAT,3205,KABUPATEN GARUT,3205110,SINGAJAYA,32.05.24,SINGAJAYA,SMPN 1 Singajaya,20209392,NEGERI,JALAN RAYA SINGAJAYA,2023
2199,32,JAWA BARAT,3205,KABUPATEN GARUT,3205110,SINGAJAYA,32.05.24,SINGAJAYA,SMPN 2 Singajaya,20209151,NEGERI,JLN. RAYA SURAPATI KP. PASIR JONGE,2023
22,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,32.01.14,LEUWILIANG,SMP ISLAM IBNU AQIL PURASARI,69886264,SWASTA,KP. CIKARET RT 001 RW 003,2023
220,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201090,CARINGIN,32.01.27,CARINGIN,SMP ISLAM PANCAWATI,69964170,SWASTA,JL VETERAN I KP PASIR KUDA RT 001/004,2023
2200,32,JAWA BARAT,3205,KABUPATEN GARUT,3205110,SINGAJAYA,32.05.24,SINGAJAYA,SMP IT DAARUL RAHMAN,69988382,SWASTA,KP. PANCASURA RT 01 RW 01,2023
2201,32,JAWA BARAT,3205,KABUPATEN GARUT,3205110,SINGAJAYA,32.05.24,SINGAJAYA,SMPIT Mekartani,69947983,SWASTA,KP.CIJOHO,2023
2202,32,JAWA BARAT,3205,KABUPATEN GARUT,3205111,CIHURIP,32.05.25,CIHURIP,SMPN 1 Cihurip,20209311,NEGERI,JL. RAYA CIHURIP NO.100,2023
2203,32,JAWA BARAT,3205,KABUPATEN GARUT,3205111,CIHURIP,32.05.25,CIHURIP,SMPN 2 Cihurip,20227425,NEGERI,JL. DESA MEKARWANGI,2023
2204,32,JAWA BARAT,3205,KABUPATEN GARUT,3205111,CIHURIP,32.05.25,CIHURIP,SMP Islam Terpadu Riadlul Ihsan Cisangkal,70003086,SWASTA,KP. CISANGKAL RT.01/RW.03,2023
2205,32,JAWA BARAT,3205,KABUPATEN GARUT,3205120,CIKAJANG,32.05.22,CIKAJANG,SMPN 1 Cikajang,20209176,NEGERI,JL. RAYA SUKADANA CIKAJANG,2023
2206,32,JAWA BARAT,3205,KABUPATEN GARUT,3205120,CIKAJANG,32.05.22,CIKAJANG,SMPN 2 Cikajang,20209415,NEGERI,NGAMPLANG,2023
2207,32,JAWA BARAT,3205,KABUPATEN GARUT,3205120,CIKAJANG,32.05.22,CIKAJANG,SMPN 3 Cikajang,20262016,NEGERI,JL. KUBANG BADAK,2023
2208,32,JAWA BARAT,3205,KABUPATEN GARUT,3205120,CIKAJANG,32.05.22,CIKAJANG,SMP IT ADZ-DZIKRO CIKAJANG,69987118,SWASTA,KP. POTONGAN RT 08 RW 01,2023
2209,32,JAWA BARAT,3205,KABUPATEN GARUT,3205120,CIKAJANG,32.05.22,CIKAJANG,SMP IT MIFTAHUL HUDA CIKAJANG,69971127,SWASTA,KP. BABAKAN SARI,2023
221,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201090,CARINGIN,32.01.27,CARINGIN,SMP ISLAM TERPADU ANNUR CIMANDE,69969918,SWASTA,JL CIMANDE HILIR RT001/001,2023
2210,32,JAWA BARAT,3205,KABUPATEN GARUT,3205120,CIKAJANG,32.05.22,CIKAJANG,SMP IT NURUL HIDAYAH CIKAJANG,69870906,SWASTA,KP. CIPANGRAMATAN RT 05 RW 04,2023
2211,32,JAWA BARAT,3205,KABUPATEN GARUT,3205120,CIKAJANG,32.05.22,CIKAJANG,SMP IT SITUWANGI,20269398,SWASTA,KP SELADATAR RT 04 RW 01,2023
2212,32,JAWA BARAT,3205,KABUPATEN GARUT,3205120,CIKAJANG,32.05.22,CIKAJANG,SMP TARBIYATUL AULAD,20258247,SWASTA,KP. NEGLA RT 01 RW 04 CIKAJANG,2023
2213,32,JAWA BARAT,3205,KABUPATEN GARUT,3205120,CIKAJANG,32.05.22,CIKAJANG,SMP TARBIYATUL AULAD 2 NGAMPLANG,69903416,SWASTA,KP. NGAMPLANG RT 04/02 DESA. CIBODAS,2023
2214,32,JAWA BARAT,3205,KABUPATEN GARUT,3205120,CIKAJANG,32.05.22,CIKAJANG,SMPS IT Assyukroniyah,69856934,SWASTA,KP. CIPARAY,2023
2215,32,JAWA BARAT,3205,KABUPATEN GARUT,3205120,CIKAJANG,32.05.22,CIKAJANG,SMPS MEKARSARI,69771398,SWASTA,JL. DESA MEKARSARI NO. 69,2023
2216,32,JAWA BARAT,3205,KABUPATEN GARUT,3205120,CIKAJANG,32.05.22,CIKAJANG,SMPS MIFTAHUL FALAH,69774712,SWASTA,KP. SIRNSARI RT 03 RW 01,2023
2217,32,JAWA BARAT,3205,KABUPATEN GARUT,3205130,BANJARWANGI,32.05.23,BANJARWANGI,SMPN 1 Banjarwangi,20209285,NEGERI,JALAN RAYA BANJARWANGI,2023
2218,32,JAWA BARAT,3205,KABUPATEN GARUT,3205130,BANJARWANGI,32.05.23,BANJARWANGI,SMPN 2 Banjarwangi,20262010,NEGERI,JL. CIKONDANG,2023
2219,32,JAWA BARAT,3205,KABUPATEN GARUT,3205130,BANJARWANGI,32.05.23,BANJARWANGI,SMPN 3 Banjarwangi,20262015,NEGERI,PADAHURIP,2023
