id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
1122,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215120,RAWAMERTA,32.15.18,RAWAMERTA,SMA RAUDHATUL IRFAN,70036745,SWASTA,DUSUN SUKAMANAH RT 05 RW 03,2023
1123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215130,TEMPURAN,32.15.20,TEMPURAN,SMAN 1 TEMPURAN,20217762,NEGERI,JL. SURYAKENCANA PAGADUNGAN,2023
1124,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215140,KUTAWALUYA,32.15.07,KUTAWALUYA,SMAN 1 RENGASDENGKLOK,20237379,NEGERI,JL. RAYA KUTAGANDOK,2023
1125,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215151,JAYAKERTA,32.15.22,JAYAKERTA,SMAS ISLAM NURUSSALAM,20237387,SWASTA,JL.RAYA MEDANG ASEM,2023
1126,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215160,PEDES,32.15.10,PEDES,SMAN 1 PEDES,20217788,NEGERI,JL. RAYA SUNGAIBUNTU PEDES,2023
1127,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215170,CIBUAYA,32.15.11,CIBUAYA,SMAN 1 CIBUAYA,69904549,NEGERI,JLN. KEDUNGJAYA DESA KEDUNGJAYA NO.1 KEC.CIBUAYA KAB. KARAWANG 41356,2023
1128,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215180,TIRTAJAYA,32.15.09,TIRTAJAYA,SMAN 1 TIRTAJAYA,69964922,NEGERI,JLN. RAYA SUMURLABAN RT.008/004,2023
1129,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215190,BATUJAYA,32.15.08,BATUJAYA,SMAN 1 BATUJAYA,20237370,NEGERI,JL. RAYA KUTAAMPEL BATUJAYA,2023
1130,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215190,BATUJAYA,32.15.08,BATUJAYA,SMAS MATHLA UL ANWAR,20265274,SWASTA,JL. RAYA BATU JAYA KM. 2,2023
1131,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215200,PAKISJAYA,32.15.12,PAKISJAYA,SMAS ANWARUL HIDAYAH,20246722,SWASTA,JL. BUGIS SELATAN PAKISJAYA,2023
