id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,status_sekolah,jumlah_siswa,satuan,tahun_ajaran
201,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,5811,SISWA,2021/2022
202,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,155017,SISWA,2021/2022
203,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,55725,SISWA,2021/2022
204,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,25648,SISWA,2021/2022
205,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,7932,SISWA,2021/2022
206,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,150191,SISWA,2021/2022
207,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,80860,SISWA,2021/2022
208,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,107693,SISWA,2021/2022
209,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,52041,SISWA,2021/2022
210,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,40244,SISWA,2021/2022
211,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,7680,SISWA,2021/2022
212,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,54256,SISWA,2021/2022
213,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,8586,SISWA,2021/2022
214,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,13798,SISWA,2021/2022
215,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,994,SISWA,2021/2022
216,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,461542,SISWA,2022/2023
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,84135,SISWA,2022/2023
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,224388,SISWA,2022/2023
219,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,14276,SISWA,2022/2023
220,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,249025,SISWA,2022/2023
221,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,8129,SISWA,2022/2023
222,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,327963,SISWA,2022/2023
223,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,30356,SISWA,2022/2023
224,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,246661,SISWA,2022/2023
225,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,21801,SISWA,2022/2023
226,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,149313,SISWA,2022/2023
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,3779,SISWA,2022/2023
228,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,84448,SISWA,2022/2023
229,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,1101,SISWA,2022/2023
230,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,93036,SISWA,2022/2023
231,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,4889,SISWA,2022/2023
232,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,188042,SISWA,2022/2023
233,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,12816,SISWA,2022/2023
234,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,109889,SISWA,2022/2023
235,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,3979,SISWA,2022/2023
236,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,96280,SISWA,2022/2023
237,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,5208,SISWA,2022/2023
238,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,158626,SISWA,2022/2023
239,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,8165,SISWA,2022/2023
240,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,133506,SISWA,2022/2023
241,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,8520,SISWA,2022/2023
242,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,92280,SISWA,2022/2023
243,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,9678,SISWA,2022/2023
244,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,216071,SISWA,2022/2023
245,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,26373,SISWA,2022/2023
246,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,252224,SISWA,2022/2023
247,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,92255,SISWA,2022/2023
248,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,147267,SISWA,2022/2023
249,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,11913,SISWA,2022/2023
250,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,30172,SISWA,2022/2023
251,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,688,SISWA,2022/2023
252,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,77245,SISWA,2022/2023
253,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,22096,SISWA,2022/2023
254,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,26587,SISWA,2022/2023
255,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,6347,SISWA,2022/2023
256,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,146996,SISWA,2022/2023
257,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,55054,SISWA,2022/2023
258,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,25114,SISWA,2022/2023
259,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,7521,SISWA,2022/2023
260,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,143923,SISWA,2022/2023
261,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,80424,SISWA,2022/2023
262,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,104983,SISWA,2022/2023
263,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,53796,SISWA,2022/2023
264,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,39051,SISWA,2022/2023
265,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,7765,SISWA,2022/2023
266,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,53253,SISWA,2022/2023
267,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,9223,SISWA,2022/2023
268,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,13375,SISWA,2022/2023
269,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,915,SISWA,2022/2023
270,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,285947,SISWA,2024/2025
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,266181,SISWA,2024/2025
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,124161,SISWA,2024/2025
273,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,116302,SISWA,2024/2025
274,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,133788,SISWA,2024/2025
275,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,125681,SISWA,2024/2025
276,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,185302,SISWA,2024/2025
277,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,174519,SISWA,2024/2025
278,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,138808,SISWA,2024/2025
279,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,130840,SISWA,2024/2025
280,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,78577,SISWA,2024/2025
