id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_murid,satuan,tahun_ajaran
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,5425,ORANG,2019/2020
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,36534,ORANG,2019/2020
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,3672,ORANG,2019/2020
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,58192,ORANG,2019/2020
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,20203,ORANG,2019/2020
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,33810,ORANG,2019/2020
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,4261,ORANG,2019/2020
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,35798,ORANG,2019/2020
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,7793,ORANG,2019/2020
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,44595,ORANG,2019/2020
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,16152,ORANG,2019/2020
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,48737,ORANG,2019/2020
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,11440,ORANG,2019/2020
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,36153,ORANG,2019/2020
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,4148,ORANG,2019/2020
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,70736,ORANG,2019/2020
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,14346,ORANG,2019/2020
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,79093,ORANG,2019/2020
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,38277,ORANG,2019/2020
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,39778,ORANG,2019/2020
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,21923,ORANG,2019/2020
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,11589,ORANG,2019/2020
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,1598,ORANG,2019/2020
91,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,17717,ORANG,2019/2020
92,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,26162,ORANG,2019/2020
93,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,13012,ORANG,2019/2020
94,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,3086,ORANG,2019/2020
95,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,52360,ORANG,2019/2020
96,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,50573,ORANG,2019/2020
97,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,15329,ORANG,2019/2020
98,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,3384,ORANG,2019/2020
99,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,47668,ORANG,2019/2020
100,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,46755,ORANG,2019/2020
101,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,26335,ORANG,2019/2020
102,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,39173,ORANG,2019/2020
103,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,12345,ORANG,2019/2020
104,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,8347,ORANG,2019/2020
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,18786,ORANG,2019/2020
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,9513,ORANG,2019/2020
107,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,5992,ORANG,2019/2020
108,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,1921,ORANG,2019/2020
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,72028,ORANG,2020/2021
110,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,67017,ORANG,2020/2021
111,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,38744,ORANG,2020/2021
112,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,23559,ORANG,2020/2021
113,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,80580,ORANG,2020/2021
114,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,39611,ORANG,2020/2021
115,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,83505,ORANG,2020/2021
116,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,130624,ORANG,2020/2021
117,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,30741,ORANG,2020/2021
118,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,6542,ORANG,2020/2021
119,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,60097,ORANG,2020/2021
120,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,36576,ORANG,2020/2021
121,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,56911,ORANG,2020/2021
122,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,24242,ORANG,2020/2021
123,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,67283,ORANG,2020/2021
124,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,38026,ORANG,2020/2021
125,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,44921,ORANG,2020/2021
126,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,17903,ORANG,2020/2021
127,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,70147,ORANG,2020/2021
128,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,17584,ORANG,2020/2021
129,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,35740,ORANG,2020/2021
130,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,4656,ORANG,2020/2021
131,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,33082,ORANG,2020/2021
132,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,6640,ORANG,2020/2021
133,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,11906,ORANG,2020/2021
134,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,1949,ORANG,2020/2021
135,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,32934,ORANG,2020/2021
136,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,5526,ORANG,2020/2021
137,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,48514,ORANG,2020/2021
138,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,13676,ORANG,2020/2021
139,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,54008,ORANG,2020/2021
140,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,33219,ORANG,2020/2021
141,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,34408,ORANG,2020/2021
142,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,8355,ORANG,2020/2021
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,41552,ORANG,2020/2021
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,21761,ORANG,2020/2021
145,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,52137,ORANG,2020/2021
146,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,47249,ORANG,2020/2021
147,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,5831,ORANG,2020/2021
148,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,2220,ORANG,2020/2021
149,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,49312,ORANG,2020/2021
150,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,45126,ORANG,2020/2021
151,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,17536,ORANG,2020/2021
152,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,25179,ORANG,2020/2021
153,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,13513,ORANG,2020/2021
154,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,7762,ORANG,2020/2021
155,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,14857,ORANG,2020/2021
156,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,3675,ORANG,2020/2021
157,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,25257,ORANG,2020/2021
158,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,42516,ORANG,2020/2021
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,12169,ORANG,2020/2021
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,3210,ORANG,2020/2021
161,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,18398,ORANG,2020/2021
