id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_murid,satuan,tahun_ajaran
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,8090,ORANG,2018/2019
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,13906,ORANG,2018/2019
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,12192,ORANG,2018/2019
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,14597,ORANG,2018/2019
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,10120,ORANG,2018/2019
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,40319,ORANG,2018/2019
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,14984,ORANG,2018/2019
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,12071,ORANG,2018/2019
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,7075,ORANG,2018/2019
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,19441,ORANG,2018/2019
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,19561,ORANG,2018/2019
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,26392,ORANG,2018/2019
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,12250,ORANG,2018/2019
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,25933,ORANG,2018/2019
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,13526,ORANG,2018/2019
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,8011,ORANG,2018/2019
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,19824,ORANG,2018/2019
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,38500,ORANG,2018/2019
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,14988,ORANG,2018/2019
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,47191,ORANG,2018/2019
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,6808,ORANG,2018/2019
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,24500,ORANG,2018/2019
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,4393,ORANG,2018/2019
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,4124,ORANG,2018/2019
91,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,6357,ORANG,2018/2019
92,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,31951,ORANG,2018/2019
93,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,5794,ORANG,2018/2019
94,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,6303,ORANG,2018/2019
95,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,24407,ORANG,2018/2019
96,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,40564,ORANG,2018/2019
97,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,3893,ORANG,2018/2019
98,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,7792,ORANG,2018/2019
99,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,13156,ORANG,2018/2019
