id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
1927,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202210,CIBADAK,32.02.11,CIBADAK,SD NEGERI LEUWEUNG DATAR,20202216,NEGERI,LEUWEUNGDATAR,2023
19270,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN HEGARSARI,20224305,NEGERI,JL TEMBUSAN GUBERNUR SEWAKA,2023
19271,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN KARANGLAYUNG,20224372,NEGERI,JL. LIUNGGUNUNG,2023
19272,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN KARIKIL,20224366,NEGERI,JL. KARIKIL,2023
19273,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN LIUNGGUNUNG,20224341,NEGERI,LIUNGGUNUNG,2023
19274,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN MANGKUBUMI,20224352,NEGERI,JL. AH NASUTION NO. 283,2023
19275,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN PUSPASARI,20224621,NEGERI,PANYARANG,2023
19276,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN SAMBONGJAYA,20224639,NEGERI,JL. SAMBONGJAYA NO.87,2023
19277,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN SAMBONGPARI,20224638,NEGERI,JL. M WIJAYAPRAJA NO. 2,2023
19278,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN SAMBONGPERMAI,20224627,NEGERI,JL. SULING II PERUM SAMBONGPERMAI,2023
19279,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN SINDANGASIH,20224701,NEGERI,KERETEG,2023
1928,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202210,CIBADAK,32.02.11,CIBADAK,SD NEGERI MALINGGUT,20202245,NEGERI,JL. MALINGGUT KP. BARUGEDONG RT 04/06,2023
