id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_murid,satuan,tahun_ajaran
255,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,6672,ORANG,2022/2023
256,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,1580,ORANG,2022/2023
257,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,31305,ORANG,2022/2023
258,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,31680,ORANG,2022/2023
259,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,10629,ORANG,2022/2023
260,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,15397,ORANG,2022/2023
261,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,24322,ORANG,2022/2023
262,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,24645,ORANG,2022/2023
263,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,16820,ORANG,2022/2023
264,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,15397,ORANG,2022/2023
265,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,7708,ORANG,2022/2023
266,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,2559,ORANG,2022/2023
267,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,12880,ORANG,2022/2023
268,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,3702,ORANG,2022/2023
269,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,3412,ORANG,2022/2023
270,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,118,ORANG,2022/2023
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,48865,ORANG,2023/2024
272,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,43120,ORANG,2023/2024
273,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,27752,ORANG,2023/2024
274,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,13896,ORANG,2023/2024
