id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_murid,satuan,tahun_ajaran
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,13327,ORANG,2019/2020
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,3192,ORANG,2019/2020
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,14315,ORANG,2019/2020
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,3983,ORANG,2019/2020
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,18047,ORANG,2019/2020
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,4999,ORANG,2019/2020
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,13981,ORANG,2019/2020
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,1218,ORANG,2019/2020
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,27686,ORANG,2019/2020
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,3478,ORANG,2019/2020
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,38336,ORANG,2019/2020
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,10996,ORANG,2019/2020
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,16885,ORANG,2019/2020
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,9667,ORANG,2019/2020
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,3851,ORANG,2019/2020
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,337,ORANG,2019/2020
91,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,9633,ORANG,2019/2020
92,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,10108,ORANG,2019/2020
93,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,6409,ORANG,2019/2020
94,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,1699,ORANG,2019/2020
95,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,29272,ORANG,2019/2020
96,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,31594,ORANG,2019/2020
97,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,9937,ORANG,2019/2020
98,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,2394,ORANG,2019/2020
99,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,20422,ORANG,2019/2020
100,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,21660,ORANG,2019/2020
101,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,13964,ORANG,2019/2020
102,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,10713,ORANG,2019/2020
103,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,7172,ORANG,2019/2020
104,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,1989,ORANG,2019/2020
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,11225,ORANG,2019/2020
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,3514,ORANG,2019/2020
107,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,3281,ORANG,2019/2020
108,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,203,ORANG,2019/2020
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,40608,ORANG,2020/2021
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,33670,ORANG,2020/2021
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,22158,ORANG,2020/2021
112,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,11769,ORANG,2020/2021
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,13500,ORANG,2020/2021
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,17255,ORANG,2020/2021
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,21939,ORANG,2020/2021
116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,33162,ORANG,2020/2021
117,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,26344,ORANG,2020/2021
118,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,16638,ORANG,2020/2021
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,12169,ORANG,2020/2021
120,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,9736,ORANG,2020/2021
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,13206,ORANG,2020/2021
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,2071,ORANG,2020/2021
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,16885,ORANG,2020/2021
124,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,1742,ORANG,2020/2021
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,17336,ORANG,2020/2021
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,4317,ORANG,2020/2021
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,14687,ORANG,2020/2021
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,1213,ORANG,2020/2021
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,13488,ORANG,2020/2021
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,3598,ORANG,2020/2021
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,15097,ORANG,2020/2021
132,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,3809,ORANG,2020/2021
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,17436,ORANG,2020/2021
134,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,5767,ORANG,2020/2021
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,13066,ORANG,2020/2021
136,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,1356,ORANG,2020/2021
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,25100,ORANG,2020/2021
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,3611,ORANG,2020/2021
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,39889,ORANG,2020/2021
140,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,11484,ORANG,2020/2021
141,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,16109,ORANG,2020/2021
142,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,10662,ORANG,2020/2021
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,4114,ORANG,2020/2021
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,453,ORANG,2020/2021
145,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,9718,ORANG,2020/2021
146,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,10497,ORANG,2020/2021
147,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,6179,ORANG,2020/2021
148,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,1720,ORANG,2020/2021
149,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,29355,ORANG,2020/2021
150,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,29510,ORANG,2020/2021
151,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,9779,ORANG,2020/2021
152,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,2584,ORANG,2020/2021
153,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,21664,ORANG,2020/2021
154,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,21772,ORANG,2020/2021
155,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,14163,ORANG,2020/2021
156,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,11718,ORANG,2020/2021
157,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,7198,ORANG,2020/2021
158,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,2100,ORANG,2020/2021
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,11246,ORANG,2020/2021
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,3958,ORANG,2020/2021
161,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,3201,ORANG,2020/2021
162,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,150,ORANG,2020/2021
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,45452,ORANG,2021/2022
